scenario	phase	verb	site	object	calls	total_ms	mean_us	p99_us	rows_touched	prepared_pct	per_input_row	runs	spread_us	floor_us
inserts_one_txn	materialize	DELETE	src/1b_state.rs:249	g	4	no effect at this scale	0.0	0.0	0	0.0	0.04	3	1000.0	1000
inserts_one_txn	declare	CREATE	src/1a_relational.rs:270	g	3	no effect at this scale	0.0	0.0	0	0.0	0.03	3	0.0	1000
inserts_one_txn	declare	CREATE	src/1b_state.rs:82	g	3	no effect at this scale	0.0	0.0	0	0.0	0.03	3	0.0	1000
inserts_one_txn	declare	INSERT	src/0a_catalog.rs:62	g	3	no effect at this scale	0.0	0.0	3	0.0	0.03	3	0.0	1000
inserts_one_txn	declare	SELECT	src/1a_relational.rs:200	g	3	no effect at this scale	0.0	0.0	3	0.0	0.03	3	0.0	1000
inserts_one_txn	declare	SELECT	src/1b_state.rs:17	g	3	no effect at this scale	0.0	0.0	3	0.0	0.03	3	0.0	1000
inserts_one_txn	drain	SELECT	src/1d_drain.rs:71	g	3	no effect at this scale	0.0	0.0	3	100.0	0.03	3	0.0	1000
inserts_one_txn	maintain	DELETE	src/1d_drain.rs:147	g	3	no effect at this scale	0.0	0.0	200	100.0	0.03	3	0.0	1000
inserts_one_txn	maintain	INSERT	src/1d_drain.rs:147	g	3	no effect at this scale	0.0	0.0	200	100.0	0.03	3	0.0	1000
inserts_one_txn	materialize	INSERT	src/1c_materialize.rs:437	g	3	no effect at this scale	0.0	0.0	100	100.0	0.03	3	0.0	1000
inserts_one_txn	declare	CREATE	src/1b_state.rs:56	g	2	no effect at this scale	0.0	0.0	0	0.0	0.02	3	0.0	1000
inserts_one_txn	declare	SELECT	src/0c_compile_from.rs:37	a	2	no effect at this scale	0.0	0.0	2	0.0	0.02	3	0.0	1000
inserts_one_txn	declare	SELECT	src/0c_compile_from.rs:47	a	2	no effect at this scale	0.0	0.0	6	0.0	0.02	3	0.0	1000
inserts_one_txn	declare	SELECT	src/0c_compile_from.rs:48	a	2	no effect at this scale	0.0	0.0	6	0.0	0.02	3	0.0	1000
inserts_one_txn	declare	CREATE	src/1a_relational.rs:208	g	1	no effect at this scale	0.0	0.0	0	0.0	0.01	3	0.0	1000
inserts_one_txn	declare	CREATE	src/1b_state.rs:44	g	1	no effect at this scale	0.0	0.0	0	0.0	0.01	3	1000.0	1000
inserts_one_txn	declare	CREATE	src/2_vtab.rs:351	g	1	no effect at this scale	0.0	0.0	0	0.0	0.01	3	0.0	1000
inserts_one_txn	declare	INSERT	src/0a_catalog.rs:45	g	1	no effect at this scale	0.0	0.0	1	0.0	0.01	3	0.0	1000
inserts_one_txn	declare	INSERT	src/0a_catalog.rs:53	g	1	no effect at this scale	0.0	0.0	1	0.0	0.01	3	0.0	1000
inserts_one_txn	declare	INSERT	src/2_vtab.rs:354	g	1	no effect at this scale	0.0	0.0	1	0.0	0.01	3	0.0	1000
inserts_one_txn	declare	SELECT	src/0b_relational.rs:626	catalog	1	no effect at this scale	0.0	0.0	48	0.0	0.01	3	0.0	1000
inserts_one_txn	declare	SELECT	src/0c_compile_from.rs:41	a	1	no effect at this scale	0.0	0.0	1	0.0	0.01	3	0.0	1000
inserts_one_txn	declare	SELECT	src/1b_state.rs:177	g	1	no effect at this scale	0.0	0.0	1	0.0	0.01	3	0.0	1000
inserts_one_txn	declare	SELECT	src/2_vtab.rs:215	catalog	1	no effect at this scale	0.0	0.0	1	100.0	0.01	3	0.0	1000
inserts_one_txn	declare	SELECT	src/2_vtab.rs:237	g	1	no effect at this scale	0.0	0.0	1	0.0	0.01	3	0.0	1000
inserts_one_txn	declare	SELECT	src/2_vtab.rs:341	g	1	no effect at this scale	0.0	0.0	1	0.0	0.01	3	0.0	1000
inserts_one_txn	maintain	DELETE	src/1d_drain.rs:124	g	1	no effect at this scale	0.0	0.0	0	100.0	0.01	3	0.0	1000
inserts_one_txn	maintain	DELETE	src/1d_drain.rs:135	g	1	no effect at this scale	0.0	0.0	0	100.0	0.01	3	0.0	1000
inserts_one_txn	maintain	DELETE	src/1d_drain.rs:181	g	1	no effect at this scale	0.0	0.0	0	100.0	0.01	3	0.0	1000
inserts_one_txn	maintain	DELETE	src/1d_drain.rs:324	g	1	no effect at this scale	0.0	0.0	0	100.0	0.01	3	0.0	1000
inserts_one_txn	maintain	DELETE	src/1d_drain.rs:332	g	1	no effect at this scale	0.0	0.0	0	100.0	0.01	3	0.0	1000
inserts_one_txn	maintain	INSERT	src/1d_drain.rs:129	g	1	no effect at this scale	0.0	0.0	100	100.0	0.01	3	0.0	1000
inserts_one_txn	maintain	INSERT	src/1d_drain.rs:130	g	1	no effect at this scale	0.0	0.0	100	100.0	0.01	3	1000.0	1000
inserts_one_txn	maintain	INSERT	src/1d_drain.rs:134	g	1	no effect at this scale	0.0	0.0	0	100.0	0.01	3	0.0	1000
inserts_one_txn	maintain	INSERT	src/1d_drain.rs:325	g	1	no effect at this scale	0.0	0.0	100	100.0	0.01	3	1000.0	1000
inserts_one_txn	maintain	INSERT	src/1d_drain.rs:327	g	1	no effect at this scale	0.0	0.0	100	100.0	0.01	3	0.0	1000
inserts_one_txn	maintain	SELECT	src/1d_drain.rs:178	g	1	no effect at this scale	0.0	0.0	1	100.0	0.01	3	0.0	1000
inserts_one_txn	maintain	SELECT	src/1d_drain.rs:187	g	1	no effect at this scale	0.0	0.0	1	100.0	0.01	3	0.0	1000
inserts_one_txn	maintain	SELECT	src/1d_drain.rs:193	g	1	no effect at this scale	0.0	0.0	100	100.0	0.01	3	1000.0	1000
inserts_one_txn	maintain	SELECT	src/1d_drain.rs:328	g	1	no effect at this scale	0.0	0.0	1	100.0	0.01	3	0.0	1000
inserts_one_txn	maintain	UPDATE	src/1d_drain.rs:326	g	1	no effect at this scale	0.0	0.0	0	100.0	0.01	3	0.0	1000
inserts_one_txn	materialize	INSERT	src/1b_state.rs:309	g	1	no effect at this scale	0.0	0.0	0	0.0	0.01	3	0.0	1000
