case	rows	batch	fanout	engine	repetition	state	source	metric	value	unit	unavailable_reason
pipeline	400	10	10	sqlite-ivm	1	batch_key_value_move	receipt	budget	constrained		
pipeline	400	10	10	sqlite-ivm	1	batch_key_value_move	receipt	stage	pipeline		
pipeline	400	10	10	sqlite-ivm	1	batch_key_value_move	receipt	circuit	pipeline		
pipeline	400	10	10	sqlite-ivm	1	batch_key_value_move	receipt	rows	400		
pipeline	400	10	10	sqlite-ivm	1	batch_key_value_move	receipt	batch_size	10		
pipeline	400	10	10	sqlite-ivm	1	batch_key_value_move	receipt	fanout	10		
pipeline	400	10	10	sqlite-ivm	1	right_support_move	receipt	affected_rows	2		
pipeline	400	10	10	sqlite-ivm	1	right_support_move	receipt	checksum	591b0d8a287188f02da75bd4b1b17d81519b5619552cef5fe60962313da9af7d		
pipeline	400	10	10	sqlite-ivm	1	right_support_move	receipt	event	mutation		
pipeline	400	10	10	sqlite-ivm	1	right_support_move	receipt	exact_input_output_validated	true		
pipeline	400	10	10	sqlite-ivm	1	right_support_move	receipt	input_hash	e83a0f118d8dce9d04f78f3fc76ea0f8df1157c96b9beec110ec8ccbb6e66bb1		
pipeline	400	10	10	sqlite-ivm	1	right_support_move	receipt	output_bytes	1528		
pipeline	400	10	10	sqlite-ivm	1	right_support_move	receipt	output_rows	226		
pipeline	400	10	10	sqlite-ivm	1	right_support_move	receipt	query_compute_ms	0.040874999999999995		
pipeline	400	10	10	sqlite-ivm	1	right_support_move	receipt	state	right_support_move		
pipeline	400	10	10	sqlite-ivm	1	right_support_move	receipt	status	ok		
pipeline	400	10	10	sqlite-ivm	1	right_support_move	receipt	update_plus_query_ms	0.13291599999999998		
pipeline	400	10	10	sqlite-ivm	1	right_support_move	receipt	update_transaction_ms	0.092041		
pipeline	400	10	10	sqlite-ivm	1	right_support_move	receipt	arm	sqlite-plugin-delta		
pipeline	400	10	10	sqlite-ivm	1	right_support_move	receipt	maintenance	sqlite-plugin-delta		
pipeline	400	10	10	sqlite-ivm	1	right_support_move	receipt	run_kind	measured		
pipeline	400	10	10	sqlite-ivm	1	right_support_move	receipt	repetition	1		
pipeline	400	10	10	sqlite-ivm	1	right_support_move	receipt	profile	circuits		
pipeline	400	10	10	sqlite-ivm	1	right_support_move	receipt	budget	constrained		
