suite	case	engine	status	states	reason
typed	group_only	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	group_only	pglite-ivm	unsupported	0	GROUP BY clause without aggregate is not supported on incrementally maintainable materialized view
typed	group_only	pglite-query	ok	174	
typed	group_ordinals	sqlite-ivm	ok	174	
typed	group_ordinals	dd	ok	174	
typed	group_ordinals	prolog	ok	174	
typed	group_ordinals	pg-ivm	ok	174	
typed	group_ordinals	pg-query	ok	174	
typed	group_ordinals	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	group_ordinals	pglite-ivm	ok	174	
typed	group_ordinals	pglite-query	ok	174	
typed	aggregate_expression	sqlite-ivm	ok	174	
typed	aggregate_expression	dd	ok	174	
typed	aggregate_expression	prolog	ok	174	
typed	aggregate_expression	pg-ivm	unsupported	0	expression containing an aggregate in it is not supported on incrementally maintainable materialized view
typed	aggregate_expression	pg-query	ok	174	
typed	aggregate_expression	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	aggregate_expression	pglite-ivm	unsupported	0	expression containing an aggregate in it is not supported on incrementally maintainable materialized view
typed	aggregate_expression	pglite-query	ok	174	
typed	having	sqlite-ivm	ok	174	
typed	having	dd	ok	174	
typed	having	prolog	ok	174	
typed	having	pg-ivm	unsupported	0	HAVING clause is not supported on incrementally maintainable materialized view
typed	having	pg-query	ok	174	
typed	having	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	having	pglite-ivm	unsupported	0	HAVING clause is not supported on incrementally maintainable materialized view
typed	having	pglite-query	ok	174	
typed	having_alias	sqlite-ivm	ok	174	
typed	having_alias	dd	ok	174	
typed	having_alias	prolog	ok	174	
typed	having_alias	pg-ivm	unsupported	0	HAVING clause is not supported on incrementally maintainable materialized view
typed	having_alias	pg-query	ok	174	
typed	having_alias	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	having_alias	pglite-ivm	unsupported	0	HAVING clause is not supported on incrementally maintainable materialized view
typed	having_alias	pglite-query	ok	174	
typed	empty_having	sqlite-ivm	ok	174	
typed	empty_having	dd	ok	174	
typed	empty_having	prolog	ok	174	
typed	empty_having	pg-ivm	unsupported	0	HAVING clause is not supported on incrementally maintainable materialized view
typed	empty_having	pg-query	ok	174	
typed	empty_having	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	empty_having	pglite-ivm	unsupported	0	HAVING clause is not supported on incrementally maintainable materialized view
typed	empty_having	pglite-query	ok	174	
typed	aggregate_filter	sqlite-ivm	ok	174	
typed	aggregate_filter	dd	ok	174	
typed	aggregate_filter	prolog	ok	174	
typed	aggregate_filter	pg-ivm	unsupported	0	aggregate function with FILTER clause is not supported on incrementally maintainable materialized view
typed	aggregate_filter	pg-query	ok	174	
typed	aggregate_filter	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	aggregate_filter	pglite-ivm	unsupported	0	aggregate function with FILTER clause is not supported on incrementally maintainable materialized view
typed	aggregate_filter	pglite-query	ok	174	
typed	distinct_aggs	sqlite-ivm	ok	174	
typed	distinct_aggs	dd	ok	174	
typed	distinct_aggs	prolog	ok	174	
typed	distinct_aggs	pg-ivm	unsupported	0	aggregate function with DISTINCT arguments is not supported on incrementally maintainable materialized view
typed	distinct_aggs	pg-query	ok	174	
typed	distinct_aggs	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	distinct_aggs	pglite-ivm	unsupported	0	aggregate function with DISTINCT arguments is not supported on incrementally maintainable materialized view
typed	distinct_aggs	pglite-query	ok	174	
typed	case_cast	sqlite-ivm	ok	174	
typed	case_cast	dd	ok	174	
typed	case_cast	prolog	ok	174	
typed	case_cast	pg-ivm	ok	174	
typed	case_cast	pg-query	ok	174	
typed	case_cast	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	case_cast	pglite-ivm	ok	174	
typed	case_cast	pglite-query	ok	174	
typed	like	sqlite-ivm	ok	174	
typed	like	dd	ok	174	
typed	like	prolog	ok	174	
typed	like	pg-ivm	ok	174	
typed	like	pg-query	ok	174	
typed	like	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	like	pglite-ivm	ok	174	
typed	like	pglite-query	ok	174	
typed	cte_columns	sqlite-ivm	ok	174	
typed	cte_columns	dd	ok	174	
typed	cte_columns	prolog	ok	174	
typed	cte_columns	pg-ivm	ok	174	
typed	cte_columns	pg-query	ok	174	
typed	cte_columns	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	cte_columns	pglite-ivm	ok	174	
typed	cte_columns	pglite-query	ok	174	
typed	cte_shared	sqlite-ivm	ok	174	
typed	cte_shared	dd	ok	174	
typed	cte_shared	prolog	ok	174	
typed	cte_shared	pg-ivm	ok	174	
typed	cte_shared	pg-query	ok	174	
typed	cte_shared	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	cte_shared	pglite-ivm	ok	174	
typed	cte_shared	pglite-query	ok	174	
typed	distinct_topk	sqlite-ivm	ok	174	
typed	distinct_topk	dd	ok	174	
typed	distinct_topk	prolog	ok	174	
typed	distinct_topk	pg-ivm	unsupported	0	ORDER BY clause is not supported on incrementally maintainable materialized view
typed	distinct_topk	pg-query	ok	174	
typed	distinct_topk	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	distinct_topk	pglite-ivm	unsupported	0	ORDER BY clause is not supported on incrementally maintainable materialized view
typed	distinct_topk	pglite-query	ok	174	
typed	group_topk	sqlite-ivm	ok	174	
typed	group_topk	dd	ok	174	
typed	group_topk	prolog	ok	174	
typed	group_topk	pg-ivm	unsupported	0	HAVING clause is not supported on incrementally maintainable materialized view
typed	group_topk	pg-query	ok	174	
typed	group_topk	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	group_topk	pglite-ivm	unsupported	0	HAVING clause is not supported on incrementally maintainable materialized view
typed	group_topk	pglite-query	ok	174	
typed	aggregate_limit_zero	sqlite-ivm	ok	174	
typed	aggregate_limit_zero	dd	ok	174	
typed	aggregate_limit_zero	prolog	ok	174	
typed	aggregate_limit_zero	pg-ivm	unsupported	0	LIMIT/OFFSET clause is not supported on incrementally maintainable materialized view
typed	aggregate_limit_zero	pg-query	ok	174	
typed	aggregate_limit_zero	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	aggregate_limit_zero	pglite-ivm	unsupported	0	LIMIT/OFFSET clause is not supported on incrementally maintainable materialized view
typed	aggregate_limit_zero	pglite-query	ok	174	
typed	hidden_order	sqlite-ivm	ok	174	
typed	hidden_order	dd	ok	174	
typed	hidden_order	prolog	ok	174	
typed	hidden_order	pg-ivm	unsupported	0	ORDER BY clause is not supported on incrementally maintainable materialized view
typed	hidden_order	pg-query	ok	174	
typed	hidden_order	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	hidden_order	pglite-ivm	unsupported	0	ORDER BY clause is not supported on incrementally maintainable materialized view
typed	hidden_order	pglite-query	ok	174	
typed	ordinal_order	sqlite-ivm	ok	174	
typed	ordinal_order	dd	ok	174	
typed	ordinal_order	prolog	ok	174	
typed	ordinal_order	pg-ivm	unsupported	0	ORDER BY clause is not supported on incrementally maintainable materialized view
typed	ordinal_order	pg-query	ok	174	
typed	ordinal_order	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	ordinal_order	pglite-ivm	unsupported	0	ORDER BY clause is not supported on incrementally maintainable materialized view
typed	ordinal_order	pglite-query	ok	174	
typed	compound_topk	sqlite-ivm	ok	174	
typed	compound_topk	dd	ok	174	
typed	compound_topk	prolog	ok	174	
typed	compound_topk	pg-ivm	unsupported	0	ORDER BY clause is not supported on incrementally maintainable materialized view
typed	compound_topk	pg-query	ok	174	
typed	compound_topk	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	compound_topk	pglite-ivm	unsupported	0	ORDER BY clause is not supported on incrementally maintainable materialized view
typed	compound_topk	pglite-query	ok	174	
typed	bag_topk	sqlite-ivm	ok	174	
typed	bag_topk	dd	ok	174	
typed	bag_topk	prolog	ok	174	
typed	bag_topk	pg-ivm	unsupported	0	ORDER BY clause is not supported on incrementally maintainable materialized view
typed	bag_topk	pg-query	ok	174	
typed	bag_topk	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	bag_topk	pglite-ivm	unsupported	0	ORDER BY clause is not supported on incrementally maintainable materialized view
typed	bag_topk	pglite-query	ok	174	
typed	window_multi	sqlite-ivm	ok	174	
typed	window_multi	dd	ok	174	
typed	window_multi	prolog	ok	174	
typed	window_multi	pg-ivm	unsupported	0	window functions are not supported on incrementally maintainable materialized view
typed	window_multi	pg-query	ok	174	
typed	window_multi	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	window_multi	pglite-ivm	unsupported	0	window functions are not supported on incrementally maintainable materialized view
typed	window_multi	pglite-query	ok	174	
typed	window_frame	sqlite-ivm	ok	174	
typed	window_frame	dd	ok	174	
typed	window_frame	prolog	ok	174	
typed	window_frame	pg-ivm	unsupported	0	window functions are not supported on incrementally maintainable materialized view
typed	window_frame	pg-query	ok	174	
typed	window_frame	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	window_frame	pglite-ivm	unsupported	0	window functions are not supported on incrementally maintainable materialized view
typed	window_frame	pglite-query	ok	174	
typed	window_named	sqlite-ivm	ok	174	
typed	window_named	dd	ok	174	
typed	window_named	prolog	ok	174	
typed	window_named	pg-ivm	unsupported	0	window functions are not supported on incrementally maintainable materialized view
typed	window_named	pg-query	ok	174	
typed	window_named	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	window_named	pglite-ivm	unsupported	0	window functions are not supported on incrementally maintainable materialized view
typed	window_named	pglite-query	ok	174	
typed	window_topk	sqlite-ivm	ok	174	
typed	window_topk	dd	ok	174	
typed	window_topk	prolog	ok	174	
typed	window_topk	pg-ivm	unsupported	0	ORDER BY clause is not supported on incrementally maintainable materialized view
typed	window_topk	pg-query	ok	174	
typed	window_topk	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	window_topk	pglite-ivm	unsupported	0	ORDER BY clause is not supported on incrementally maintainable materialized view
typed	window_topk	pglite-query	ok	174	
typed	group_window	sqlite-ivm	ok	174	
typed	group_window	dd	ok	174	
typed	group_window	prolog	ok	174	
typed	group_window	pg-ivm	unsupported	0	ORDER BY clause is not supported on incrementally maintainable materialized view
typed	group_window	pg-query	ok	174	
typed	group_window	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	group_window	pglite-ivm	unsupported	0	ORDER BY clause is not supported on incrementally maintainable materialized view
typed	group_window	pglite-query	ok	174	
typed	outer_aggregate	sqlite-ivm	ok	174	
typed	outer_aggregate	dd	ok	174	
typed	outer_aggregate	prolog	ok	174	
typed	outer_aggregate	pg-ivm	unsupported	0	this query is not allowed on incrementally maintainable materialized view
typed	outer_aggregate	pg-query	ok	174	
typed	outer_aggregate	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	outer_aggregate	pglite-ivm	unsupported	0	this query is not allowed on incrementally maintainable materialized view
typed	outer_aggregate	pglite-query	ok	174	
typed	nested_distinct	sqlite-ivm	ok	174	
typed	nested_distinct	dd	ok	174	
typed	nested_distinct	prolog	ok	174	
typed	nested_distinct	pg-ivm	unsupported	0	DISTINCT clause in nested query are not supported on incrementally maintainable materialized view
typed	nested_distinct	pg-query	ok	174	
typed	nested_distinct	sqlite-query	oracle	174	Separate SQLite connection used by the native feature adapter
typed	nested_distinct	pglite-ivm	unsupported	0	DISTINCT clause in nested query are not supported on incrementally maintainable materialized view
typed	nested_distinct	pglite-query	ok	174	
dd-contracts	signed_map_filter_flatmap	sqlite-ivm	adapter-missing	0	DD-specific timestamp/weighted/recursive graph contract; no equivalent adapter in this suite
dd-contracts	signed_map_filter_flatmap	dd	ok	5	
dd-contracts	signed_map_filter_flatmap	prolog	adapter-missing	0	DD-specific timestamp/weighted/recursive graph contract; no equivalent adapter in this suite
dd-contracts	signed_map_filter_flatmap	pg-ivm	adapter-missing	0	DD-specific timestamp/weighted/recursive graph contract; no equivalent adapter in this suite
dd-contracts	signed_map_filter_flatmap	pg-query	adapter-missing	0	DD-specific timestamp/weighted/recursive graph contract; no equivalent adapter in this suite
dd-contracts	signed_map_filter_flatmap	sqlite-query	adapter-missing	0	DD-specific timestamp/weighted/recursive graph contract; no equivalent adapter in this suite
